"","campaign","name","keywords","",""
"0","SEM_Campaign","Kapunga Rice","kapunga rice quality","Exact","Quality"
"1","SEM_Campaign","Kapunga Rice","kapunga rice quality","Phrase","Quality"
"2","SEM_Campaign","Kapunga Rice","+kapunga +rice +quality","Broad","Quality"
"3","SEM_Campaign","Kapunga Rice","kapunga rice delicious","Exact","Delicious"
"4","SEM_Campaign","Kapunga Rice","kapunga rice delicious","Phrase","Delicious"
"5","SEM_Campaign","Kapunga Rice","+kapunga +rice +delicious","Broad","Delicious"
"6","SEM_Campaign","Kapunga Rice","kapunga rice low effort","Exact","Low Effort"
"7","SEM_Campaign","Kapunga Rice","kapunga rice low effort","Phrase","Low Effort"
"8","SEM_Campaign","Kapunga Rice","+kapunga +rice +low +effort","Broad","Low Effort"
"9","SEM_Campaign","Kapunga Rice","quality kapunga rice","Exact","Quality"
"10","SEM_Campaign","Kapunga Rice","quality kapunga rice","Phrase","Quality"
"11","SEM_Campaign","Kapunga Rice","+quality +kapunga +rice","Broad","Quality"
"12","SEM_Campaign","Kapunga Rice","delicious kapunga rice","Exact","Delicious"
"13","SEM_Campaign","Kapunga Rice","delicious kapunga rice","Phrase","Delicious"
"14","SEM_Campaign","Kapunga Rice","+delicious +kapunga +rice","Broad","Delicious"
"15","SEM_Campaign","Kapunga Rice","low effort kapunga rice","Exact","Low Effort"
"16","SEM_Campaign","Kapunga Rice","low effort kapunga rice","Phrase","Low Effort"
"17","SEM_Campaign","Kapunga Rice","+low +effort +kapunga +rice","Broad","Low Effort"
"18","SEM_Campaign","Kapunga Rice","kapunga rice quality delicious","Exact","Quality;Delicious"
"19","SEM_Campaign","Kapunga Rice","kapunga rice quality delicious","Phrase","Quality;Delicious"
"20","SEM_Campaign","Kapunga Rice","+kapunga +rice +quality +delicious","Broad","Quality;Delicious"
"21","SEM_Campaign","Kapunga Rice","kapunga rice quality low effort","Exact","Quality;Low Effort"
"22","SEM_Campaign","Kapunga Rice","kapunga rice quality low effort","Phrase","Quality;Low Effort"
"23","SEM_Campaign","Kapunga Rice","+kapunga +rice +quality +low +effort","Broad","Quality;Low Effort"
"24","SEM_Campaign","Kapunga Rice","kapunga rice delicious quality","Exact","Delicious;Quality"
"25","SEM_Campaign","Kapunga Rice","kapunga rice delicious quality","Phrase","Delicious;Quality"
"26","SEM_Campaign","Kapunga Rice","+kapunga +rice +delicious +quality","Broad","Delicious;Quality"
"27","SEM_Campaign","Kapunga Rice","kapunga rice delicious low effort","Exact","Delicious;Low Effort"
"28","SEM_Campaign","Kapunga Rice","kapunga rice delicious low effort","Phrase","Delicious;Low Effort"
"29","SEM_Campaign","Kapunga Rice","+kapunga +rice +delicious +low +effort","Broad","Delicious;Low Effort"
"30","SEM_Campaign","Kapunga Rice","kapunga rice low effort quality","Exact","Low Effort;Quality"
"31","SEM_Campaign","Kapunga Rice","kapunga rice low effort quality","Phrase","Low Effort;Quality"
"32","SEM_Campaign","Kapunga Rice","+kapunga +rice +low +effort +quality","Broad","Low Effort;Quality"
"33","SEM_Campaign","Kapunga Rice","kapunga rice low effort delicious","Exact","Low Effort;Delicious"
"34","SEM_Campaign","Kapunga Rice","kapunga rice low effort delicious","Phrase","Low Effort;Delicious"
"35","SEM_Campaign","Kapunga Rice","+kapunga +rice +low +effort +delicious","Broad","Low Effort;Delicious"
"36","SEM_Campaign","Kapunga Rice","quality kapunga rice delicious","Exact","Quality;Delicious"
"37","SEM_Campaign","Kapunga Rice","quality kapunga rice delicious","Phrase","Quality;Delicious"
"38","SEM_Campaign","Kapunga Rice","+quality +kapunga +rice +delicious","Broad","Quality;Delicious"
"39","SEM_Campaign","Kapunga Rice","quality kapunga rice low effort","Exact","Quality;Low Effort"
"40","SEM_Campaign","Kapunga Rice","quality kapunga rice low effort","Phrase","Quality;Low Effort"
"41","SEM_Campaign","Kapunga Rice","+quality +kapunga +rice +low +effort","Broad","Quality;Low Effort"
"42","SEM_Campaign","Kapunga Rice","quality delicious kapunga rice","Exact","Quality;Delicious"
"43","SEM_Campaign","Kapunga Rice","quality delicious kapunga rice","Phrase","Quality;Delicious"
"44","SEM_Campaign","Kapunga Rice","+quality +delicious +kapunga +rice","Broad","Quality;Delicious"
"45","SEM_Campaign","Kapunga Rice","quality low effort kapunga rice","Exact","Quality;Low Effort"
"46","SEM_Campaign","Kapunga Rice","quality low effort kapunga rice","Phrase","Quality;Low Effort"
"47","SEM_Campaign","Kapunga Rice","+quality +low +effort +kapunga +rice","Broad","Quality;Low Effort"
"48","SEM_Campaign","Kapunga Rice","delicious kapunga rice quality","Exact","Delicious;Quality"
"49","SEM_Campaign","Kapunga Rice","delicious kapunga rice quality","Phrase","Delicious;Quality"
"50","SEM_Campaign","Kapunga Rice","+delicious +kapunga +rice +quality","Broad","Delicious;Quality"
"51","SEM_Campaign","Kapunga Rice","delicious kapunga rice low effort","Exact","Delicious;Low Effort"
"52","SEM_Campaign","Kapunga Rice","delicious kapunga rice low effort","Phrase","Delicious;Low Effort"
"53","SEM_Campaign","Kapunga Rice","+delicious +kapunga +rice +low +effort","Broad","Delicious;Low Effort"
"54","SEM_Campaign","Kapunga Rice","delicious quality kapunga rice","Exact","Delicious;Quality"
"55","SEM_Campaign","Kapunga Rice","delicious quality kapunga rice","Phrase","Delicious;Quality"
"56","SEM_Campaign","Kapunga Rice","+delicious +quality +kapunga +rice","Broad","Delicious;Quality"
"57","SEM_Campaign","Kapunga Rice","delicious low effort kapunga rice","Exact","Delicious;Low Effort"
"58","SEM_Campaign","Kapunga Rice","delicious low effort kapunga rice","Phrase","Delicious;Low Effort"
"59","SEM_Campaign","Kapunga Rice","+delicious +low +effort +kapunga +rice","Broad","Delicious;Low Effort"
"60","SEM_Campaign","Kapunga Rice","low effort kapunga rice quality","Exact","Low Effort;Quality"
"61","SEM_Campaign","Kapunga Rice","low effort kapunga rice quality","Phrase","Low Effort;Quality"
"62","SEM_Campaign","Kapunga Rice","+low +effort +kapunga +rice +quality","Broad","Low Effort;Quality"
"63","SEM_Campaign","Kapunga Rice","low effort kapunga rice delicious","Exact","Low Effort;Delicious"
"64","SEM_Campaign","Kapunga Rice","low effort kapunga rice delicious","Phrase","Low Effort;Delicious"
"65","SEM_Campaign","Kapunga Rice","+low +effort +kapunga +rice +delicious","Broad","Low Effort;Delicious"
"66","SEM_Campaign","Kapunga Rice","low effort quality kapunga rice","Exact","Low Effort;Quality"
"67","SEM_Campaign","Kapunga Rice","low effort quality kapunga rice","Phrase","Low Effort;Quality"
"68","SEM_Campaign","Kapunga Rice","+low +effort +quality +kapunga +rice","Broad","Low Effort;Quality"
"69","SEM_Campaign","Kapunga Rice","low effort delicious kapunga rice","Exact","Low Effort;Delicious"
"70","SEM_Campaign","Kapunga Rice","low effort delicious kapunga rice","Phrase","Low Effort;Delicious"
"71","SEM_Campaign","Kapunga Rice","+low +effort +delicious +kapunga +rice","Broad","Low Effort;Delicious"
"72","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality","Exact","Quality"
"73","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality","Phrase","Quality"
"74","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +quality","Broad","Quality"
"75","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious","Exact","Delicious"
"76","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious","Phrase","Delicious"
"77","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +delicious","Broad","Delicious"
"78","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort","Exact","Low Effort"
"79","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort","Phrase","Low Effort"
"80","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +low +effort","Broad","Low Effort"
"81","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice","Exact","Quality"
"82","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice","Phrase","Quality"
"83","SEM_Campaign","Kapunga Thin Rice","+quality +kapunga +thin +rice","Broad","Quality"
"84","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice","Exact","Delicious"
"85","SEM_Campaign","Kapunga Thin Rice","delicious kapunga thin rice","Phrase","Delicious"
"86","SEM_Campaign","Kapunga Thin Rice","+delicious +kapunga +thin +rice","Broad","Delicious"
"87","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice","Exact","Low Effort"
"88","SEM_Campaign","Kapunga Thin Rice","low effort kapunga thin rice","Phrase","Low Effort"
"89","SEM_Campaign","Kapunga Thin Rice","+low +effort +kapunga +thin +rice","Broad","Low Effort"
"90","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality delicious","Exact","Quality;Delicious"
"91","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality delicious","Phrase","Quality;Delicious"
